nutrient_name,nutrient_id,description,daily_intake,low_intake_amount,low_intake_description,high_intake_amount,high_intake_description,links,type
Vitamin E,573,"Vitamin E is used for treating vitamin E deficiency, which is rare, but can occur in people with certain genetic disorders and in very low-weight premature infants.
Some people use vitamin E for treating and preventing diseases of the heart and blood vessels including hardening of the arteries, heart attack, chest pain, leg pain due to blocked arteries, and high blood pressure. Vitamin E is also used for treating diabetes and its complications. It is used for preventing cancer, particularly lung and oral cancer in smokers; colorectal cancer and polyps; and gastric, prostate, and pancreatic cancer.",10,,,,,,Vitamin
Vitamin K,430,"Vitamin K is  given to treat and prevent vitamin K deficiency, a condition in which the body doesn't have enough vitamin K. It is also used to prevent and treat weak bones (osteoporosis) and relieve itching that often accompanies a liver disease called biliary cirrhosis. Vitamin K2 (menaquinone) is taken by mouth to treat osteoporosis and bone loss caused by steroids, as well as to lower total cholesterol in people on dialysis.",80,,,,,,Vitamin
Calcium,301,"Calcium is used for treatment and prevention of low calcium levels and resulting bone conditions including osteoporosis (weak bones due to low bone density), rickets (a condition in children involving softening of the bones), and osteomalacia (a softening of bones involving pain). Calcium is also used for premenstrual syndrome (PMS), leg cramps in pregnancy, high blood pressure in pregnancy (pre-eclampsia), and reducing the risk of colon and rectal cancers.",1000,,,,,,Mineral
Copper,312,"Copper is used for treating copper deficiency and the anemia it may cause. Having too little copper (copper deficiency) is rare. It sometimes occurs in people who get too much zinc from diet or supplements, have intestinal bypass surgery, or are fed by feeding tubes. Malnourished infants can also have copper deficiency. Copper is also used for improving wound healing, and treating osteoarthritis and brittle bones (osteoporosis).",2,,,,,,Mineral
Fluoride,313,Fluoride is added to public drinking water to prevent tooth decay. Children who do not drink fluorinated public water because their homes use water from a private well often take fluoride tablets to prevent tooth decay. Fluoride is added to toothpaste and mouthwashes so it can be applied directly to the teeth to prevent tooth decay. Fluoride is also taken by mouth for treating weakened bones (osteoporosis) and for preventing bone loss in people with rheumatoid arthritis and Crohn's disease.,4000,,,,,,Mineral
Iron,303,"Iron supplements are taken for preventing and treating low levels of iron (iron deficiency) and the resulting iron deficiency anemia. In people with iron deficiency anemia, the red blood cells can't carry enough oxygen to the body because they don't have enough iron. People with this condition often feel very tired. Iron is also used for improving athletic performance and treating attention deficit-hyperactivity disorder (ADHD) and canker sores. Some people also use iron for Crohn's disease, depression, fatigue, and the inability to get pregnant.",15,,,,,,Mineral
Magnesium,304,"Magnesium is used for diseases of the heart and blood vessels including chest pain, irregular heartbeat, high blood pressure, high levels of ""bad"" cholesterol called low-density lipoprotein (LDL) cholesterol, low levels of ""good"" cholesterol called high-density lipoprotein (HDL) cholesterol, heart valve disease (mitral valve prolapse), metabolic syndrome, clogged arteries (coronary artery disease), stroke, and heart attack.",350,,,,,,Mineral
Manganese,315,"Manganese is used for prevention and treatment of manganese deficiency, a condition in which the body doesn't have enough manganese. It is also used for weak bones (osteoporosis), a type of tired blood (anemia), and symptoms of premenstrual syndrome (PMS).",5,,,,,,Mineral
Phosphorus,305,"Phosphate salts are used for treating blood phosphate levels that are too low and bloodcalcium levels that are too high, and for preventing kidney stones. They are also taken for treating osteomalacia (often called rickets in children), a condition caused by a mineral imbalance in the body that leads to softening of the bones. Phosphate salts are also used for improving exercise performance, as an antacid for gastroesophageal reflux disease (GERD), and as a laxative for emptying the bowels before surgery. Phosphate salts and calcium are applied to sensitive teeth to reduce pain.",1000,,,,,,Mineral
Potassium,306,"Potassium can be used to treat high levels of calcium, a type of dizziness called Menire's disease, thallium poisoning, insulin resistance, symptoms of menopause, and infantcolic. It is also used for allergies, headaches, acne, alcoholism, Alzheimer's disease, confusion, arthritis, blurred vision, cancer, chronic fatigue syndrome, an intestinal disorder called colitis, constipation, dermatitis, bloating, fever, gout, insomnia, irritability, mononucleosis, muscle weakness, muscular dystrophy, stress, and with medications as treatment for myasthenia gravis.",3500,,,,,,Mineral
Selenium,317,"Selenium is used for diseases of the heart and blood vessels, including stroke and hardening of the arteries (atherosclerosis). It is also used for preventing various cancers including cancer of the prostate, stomach, lung, and skin. Some people use selenium for under-active thyroid, osteoarthritis, rheumatoid arthritis (RA), an eye disease called macular degeneration, hay fever, infertility, cataracts, gray hair, abnormal pap smears, chronic fatigue syndrome (CFS), mood disorders, arsenic poisoning, and preventing miscarriage.",35,,,,,,Mineral
Sodium,307,"Sodium, or salt, is a mineral found in many foods, sometimes in very high amounts. The typical American eats much more salt than the body needs. If you're eating more than a pinch of salt a day -- about a teaspoon -- you are eating more than recommended. Too much salt in your diet affects your body's fluid balance and can lead to serious health problems, including high blood pressure and kidney disease. A healthy diet is one that is low in sodium. ",2400,,,,,,Mineral
Zinc,309,"Zinc is used for boosting the immune system, treating the common cold and recurrent ear infections, and preventing lower respiratory infections. It is also used for malaria and other diseases caused by parasites.Some people use zinc for an eye disease called macular degeneration, for night blindness, and for cataracts. It is also used for asthma; diabetes; high blood pressure; acquired immunodeficiency syndrome (AIDS); and skin conditions such as psoriasis, eczema, and acne.",15,,,,,,Mineral
Fiber,291,"Fiber is used for high cholesterol, high blood pressure, and preventing diseases of the heart and blood vessels. It is also used for type 2 diabetes, asthma, lung cancer, endometrial cancer, prostate cancer, and thyroid cancer, as well as preventing weak bones (osteoporosis), and slowing the progression of kidney disease. Other uses include treating constipation and diarrhea, as well as decreasing protein in the urine of people with kidney disease, improving memory, and treating muscle soreness caused by exercise.",30,,,,,,Vitamin
